occ_pnadc,ind_pnadc,cbo_dom
0,61000,0
0,62000,0
0,63000,0
0,64000,0
0,65000,0
0,66001,0
0,66002,0
0,68000,0
0,69000,0
0,70000,0
0,71000,0
0,72000,0
0,73010,0
0,73020,0
0,74000,0
0,75000,0
0,77010,0
0,77020,0
0,78000,0
0,79000,0
0,80000,0
0,81011,0
0,81012,0
0,81020,0
0,82001,0
0,82002,0
0,82003,0
0,82009,0
0,84011,0
0,84012,0
0,84013,0
0,84014,0
0,84015,0
0,84016,0
0,84017,0
0,84020,0
0,84999,0
0,85011,0
0,85012,0
0,85013,0
0,85014,0
0,85021,0
0,85029,0
0,85999,0
0,86001,0
0,86002,0
0,86003,0
0,86004,0
0,86009,0
0,86999,0
0,87000,0
0,88000,0
0,90000,0
0,91000,0
0,92000,0
0,93011,0
0,93012,0
0,93020,0
0,94010,0
0,94020,0
0,94091,0
0,94099,0
0,95010,0
0,95030,0
0,96010,0
0,96020,0
0,96030,0
0,96090,0
0,97000,0
0,99000,0
110,84014,200
210,84014,200
299,84014,200
411,84016,403
412,84016,412
511,84016,502
512,84016,513
599,84016,0
999,84014,0
999,84016,0
999,84999,0
1111,84011,1111
1111,84012,1111
1111,84013,1111
1111,84999,1111
1112,0,1123
1112,64000,1123
1112,71000,1123
1112,72000,1123
1112,84011,1123
1112,84012,1123
1112,84013,1123
1112,84014,1123
1112,84015,1123
1112,84016,2423
1112,84017,1123
1112,84020,1123
1112,84999,1123
1112,91000,1123
1112,99000,1122
1113,0,1130
1113,94099,1130
1114,0,1140
1114,94010,1140
1114,94020,1140
1114,94091,1140
1114,94099,1140
1120,0,1210
1120,1101,1310
1120,1103,1210
1120,1104,1320
1120,1105,1310
1120,1106,1210
1120,1107,1310
1120,1112,1310
1120,1113,1310
1120,1117,1310
1120,1118,1210
1120,1119,1210
1120,1201,1210
1120,1202,1310
1120,1205,1210
1120,1209,1210
1120,1401,1210
1120,1402,1210
1120,1999,1210
1120,2000,1210
1120,3001,1210
1120,3002,1210
1120,5000,1210
1120,6000,1210
1120,7001,1310
1120,7002,1320
1120,8001,1210
1120,8002,1310
1120,8999,1210
1120,9000,1210
1120,10010,1310
1120,10021,1310
1120,10022,1210
1120,10030,1210
1120,10091,1210
1120,10092,1310
1120,10093,1210
1120,10099,1210
1120,10999,1210
1120,11000,1320
1120,13001,1210
1120,13002,1210
1120,13999,1210
1120,14001,1210
1120,14999,1210
1120,15011,1310
1120,15012,1210
